序号,书名,作者,出版年份,出版社,书籍链接,封面图链接,简介
1,男流文学论,[日] 上野千鹤子 / [日] 小仓千加子 / [日] 富冈多惠子,2026-1,北京联合出版公司,https://book.douban.com/subject/37487277/?icn=index-latestbook-subject,https://img1.doubanio.com/view/subject/s/public/s35314739.jpg,🎓社会学家上野千鹤子×心理学家小仓千加子×文艺学家富冈多惠子犀利解读：吉行淳之介、岛尾敏雄、谷崎润一郎、小岛信夫、村上春树、三岛由纪夫🧨当女性主义遇到“老登文学”——三个毒舌女人聚在一起，竟对大文豪的作品 “挑三拣四”？！一键祛魅文学的“权威标准” 揭穿男流文学的厌女本质+++“文学”最能映照出人类世界中绵延不绝的“父权王国”和“厌女”。社会...
2,亲密陷阱,[英]瑞秋·奥尼尔,2025-12,岳麓书社,https://book.douban.com/subject/37832889/?icn=index-latestbook-subject,https://img2.doubanio.com/view/subject/s/public/s35337781.jpg,“骗色社群”承诺让男人学会“拿捏”女人的知识。男性支付高昂的费用，在培训师的指导下，习得与女性建立亲密关系的套路。如今我们熟知的PUA一词，便起源于此，最初指 “搭讪艺术家”（pick-up artist），后衍生为情感操纵与精神控制的统称。作者进行了一年多的行业调查。她找到30多位业内受访者，亲身记录形形色色的培训课堂，在近60万字的调查资料基础上完成本书。...
3,大清万象：清代日记中的情感世界和社会生活,尧育飞,2026-1,上海古籍出版社,https://book.douban.com/subject/37457279/?icn=index-latestbook-subject,https://img2.doubanio.com/view/subject/s/public/s35314771.jpg,【编辑推荐】：★ 南京大学徐雁平教授作序，北京大学张剑教授、国家图书馆郑小悠研究馆员力荐。★ 从出洋五大臣被炸案到曾国藩的围棋日常，内容涉及政治史、情感史、饮食史、医疗史，透过日记笔触，勾勒帝国晚期的社会百态。★ 从清代日记展示的一个个具体案例入手，如赵烈文在咸同年间瘟疫之下失去家人的遭遇、作为清遗民的郭曾炘在易代之际的生存策略，走进清代普通...
4,反俄狄浦斯：资本主义与精神分裂（卷一）,吉尔·德勒兹 / 菲利克斯·加塔利,2026-1,南京大学出版社,https://book.douban.com/subject/37427891/?icn=index-latestbook-subject,https://img3.doubanio.com/view/subject/s/public/s35337932.jpg,本书是法国哲学家吉尔·德勒兹与心理学家菲利克斯·加塔利于1972年合作出版的一本书，美国版序言由米歇尔·福柯所写。本书是《资本主义与精神分裂》的第一卷，第二卷为《千高原》。德勒兹和加塔利在这本书中进行了对欲望与现实（特别是资本主义社会）关系的分析，这些分析涉及心理学、经 济学、社会和历史等多个领域。他们概述了以无意识为基础的唯物主义精神病学及...
5,陌生的女孩：女性科幻短篇集·原创篇,顾适 主编 / 王岑岑 / 修新羽 / 昼温 / 王侃瑜 / 迟卉 / 靓灵 / 慕明 / 糖匪,2026-1,浙江文艺出版社,https://book.douban.com/subject/37426818/?icn=index-latestbook-subject,https://img3.doubanio.com/view/subject/s/public/s35297063.jpg,🪐中国女性科幻最具代表性的声音被忽视的身体被改写的记忆被压抑的欲望🌌她们的故事永远不够多🪐她们用科幻与幻想重新定义了人性、性别与世界的边界🌌双封面装帧，裸脊锁线————————【内容简介】《陌生的女孩》由顾适主编，集结了王岑岑、修新羽、昼温、顾适、王侃瑜、迟卉、靓灵、慕明与糖匪九位当代女性科幻作家的代表作品，呈现出中国女性科幻写作的多元面...
6,执子之手：清代的婚姻与伉俪之情,[美] 卢苇菁,2026-1,广西师范大学出版社,https://book.douban.com/subject/37824245/?icn=index-latestbook-subject,https://img9.doubanio.com/view/subject/s/public/s35351434.jpg,一本探讨清代包办婚姻中夫妻关系和亲密情感的研究著作，通过士人日记、夫妇书信、家族记录与诗文手稿，勾勒清代婚姻中真实而复杂的图景。☆ 本书亮点1.著名汉学家卢苇菁新作，一部研究清代婚姻、家庭史的突破性专著，黄卫总、高彦颐、刘咏聪一致推荐。2.通过大量真实个案，挑战长期以来认为传统婚姻无法为两性造就幸福的看法。本书通过士人日记、夫妇书信、家族记录与...
7,王尔德故事全集（全三种）,(英) 奥斯卡·王尔德,2025-12,奇遇时刻｜广西师范大学出版社,https://book.douban.com/subject/37494448/?icn=index-latestbook-subject,https://img9.doubanio.com/view/subject/s/public/s35366976.jpg,唯美主义大师精选集，李家真译本，奇遇文库◇ 内耗终结者，语言炼金术师，你的英国文学嘴替现已上线虚荣是夺回主体性的起点，嫉妒是我们共同的朋友，造作的美比天然面貌更贴近真实，我们身上的矛盾，是我们活着的证明，奥斯卡·王尔德，平等创飞每个陷入自我拉扯的人◇ 李家真译本，用好中文呈现大师巅峰作品翻译家李家真钻研权威底本，跨越不可能的语言壁垒，精心修...
8,单身的历史,[法] 让-克洛德·布洛涅,2026-1,东方出版中心,https://book.douban.com/subject/37567888/?icn=index-latestbook-subject,https://img9.doubanio.com/view/subject/s/public/s35350314.jpg,当下，宣称单身自由的都市青年将“单身”标榜为一种自觉的生活宣言。单身已不再是被动的处境，而逐渐转变为自由意志的主动选择。身边无数流行文化符号与新兴市场的崛起，印证着“单身”已成为不可忽视的常态。然而，单身长久以来被视为一段等待填补的过渡，婚姻的“缺席”。本书将颠覆这一认知，揭示单身如何从历史叙事的边缘走向了现代生活的中心。本书纵观历史，系...
9,美女与野兽：一部时尚与暴力的历史,[美] 迈克尔·陶西格（Michael Taussig）,2026-1,北京大学出版社,https://book.douban.com/subject/37281137/?icn=index-latestbook-subject,https://img9.doubanio.com/view/subject/s/public/s35361775.jpg,《美女与野兽》以人类学家陶西格在哥伦比亚的大量田野调查为基础，呈现当地长期内战后苦痛与狂欢并存的诡异现实：一方面是各种武装力量造成的动荡不安，及大资本控制的农商业集团对原有小农经济的摧毁；另一方面则是整形产业的畸形发展，社会各阶层狂热追求身体之美与时尚生活。作者追溯了人们关于身体与美的观念的变迁，将整形手术对身体的改造与暴力犯罪对身体的伤...
10,从独立战争到互联网时代的美国揭秘事件,(美) 艾莉森·斯坦格 (Allison Stanger),2026-1-1,浙江大学出版社,https://book.douban.com/subject/37806753/?icn=index-latestbook-subject,https://img1.doubanio.com/view/subject/s/public/s35316699.jpg,一部穿越时空的真相史诗，探秘美国“吹哨人”的发展历程——从独立战争时期诞生的世界首部吹哨人保护法到南北战争时期的《虚假申报法案》；从“一战”时期的间谍案到“五角大楼文件”和“水门事件”；从“9·11事件”之后的“绝密美国”计划到泛滥的外包合同欺诈；从“斯诺登事件”到维基解密……★ 剖析吹哨人定义之争及法律保护的演变，直面国家安全与言论自由的矛...
