订单ID,商品名称,销售额,下单日期,城市
1001,卫衣,3520.99,2024-01-01,深圳
1002,水杯,2726.87,2024-01-02,上海
1003,手机,1616.69,2024-01-03,上海
1004,卫衣,4087.60,2024-01-04,深圳
1005,卫衣,3455.18,2024-01-05,北京
1006,水杯,896.82,2024-01-06,北京
1007,手机,4563.54,2024-01-07,上海
1008,手机,4130.43,2024-01-08,北京
1009,卫衣,4754.02,2024-01-09,深圳
1010,耳机,3656.03,2024-01-10,北京
1011,卫衣,3105.73,2024-01-11,上海
1012,卫衣,2149.39,2024-01-12,深圳
1013,卫衣,4670.37,2024-01-13,北京
1014,卫衣,4343.71,2024-01-14,广州
1015,水杯,321.57,2024-01-15,深圳
1016,手机,229.20,2024-01-16,深圳
1017,水杯,1944.67,2024-01-17,广州
1018,水杯,4071.71,2024-01-18,广州
1019,水杯,4937.65,2024-01-19,深圳
1020,卫衣,837.04,2024-01-20,广州
1021,耳机,3011.24,2024-01-21,上海
1022,手机,1966.37,2024-01-22,上海
1023,耳机,4852.58,2024-01-23,上海
1024,水杯,4226.38,2024-01-24,深圳
1025,水杯,4207.81,2024-01-25,广州
1026,耳机,2396.60,2024-01-26,广州
1027,耳机,2132.62,2024-01-27,北京
1028,耳机,1439.69,2024-01-28,北京
1029,水杯,376.24,2024-01-29,广州
1030,水杯,4337.14,2024-01-30,广州
1031,手机,4083.21,2024-01-31,广州
1032,手机,4998.62,2024-02-01,深圳
1033,水杯,4983.52,2024-02-02,广州
1034,耳机,2821.62,2024-02-03,北京
1035,耳机,3868.04,2024-02-04,深圳
1036,手机,4729.35,2024-02-05,广州
1037,水杯,4263.27,2024-02-06,北京
1038,手机,1312.01,2024-02-07,深圳
1039,手机,2307.67,2024-02-08,广州
1040,卫衣,732.88,2024-02-09,广州
1041,卫衣,4774.85,2024-02-10,广州
1042,卫衣,3070.26,2024-02-11,深圳
1043,耳机,1220.35,2024-02-12,北京
1044,水杯,3391.33,2024-02-13,北京
1045,水杯,3128.83,2024-02-14,上海
1046,水杯,1855.00,2024-02-15,广州
1047,水杯,656.43,2024-02-16,上海
1048,卫衣,3390.71,2024-02-17,上海
1049,耳机,2649.51,2024-02-18,北京
1050,耳机,3884.36,2024-02-19,深圳
1051,卫衣,2648.80,2024-02-20,深圳
1052,耳机,4275.69,2024-02-21,北京
1053,卫衣,2804.34,2024-02-22,深圳
1054,水杯,2848.60,2024-02-23,上海
1055,卫衣,4395.60,2024-02-24,广州
1056,水杯,2077.07,2024-02-25,北京
1057,水杯,756.67,2024-02-26,广州
1058,手机,241.04,2024-02-27,深圳
1059,卫衣,3800.17,2024-02-28,广州
1060,手机,3139.52,2024-02-29,深圳
1061,卫衣,3549.99,2024-03-01,深圳
1062,卫衣,1143.52,2024-03-02,上海
1063,手机,768.22,2024-03-03,深圳
1064,手机,171.27,2024-03-04,上海
1065,卫衣,1817.88,2024-03-05,上海
1066,耳机,2990.60,2024-03-06,上海
1067,水杯,2022.00,2024-03-07,北京
1068,手机,2243.63,2024-03-08,北京
1069,水杯,4530.38,2024-03-09,深圳
1070,耳机,1806.45,2024-03-10,上海
1071,耳机,2618.55,2024-03-11,北京
1072,耳机,3939.90,2024-03-12,上海
1073,手机,2043.06,2024-03-13,广州
1074,耳机,3148.22,2024-03-14,广州
1075,手机,4325.58,2024-03-15,广州
1076,耳机,4752.65,2024-03-16,深圳
1077,水杯,820.66,2024-03-17,上海
1078,水杯,4640.28,2024-03-18,广州
1079,卫衣,2511.37,2024-03-19,北京
1080,水杯,1365.40,2024-03-20,广州
1081,卫衣,2349.77,2024-03-21,广州
1082,水杯,4902.16,2024-03-22,广州
1083,手机,2513.83,2024-03-23,深圳
1084,水杯,1710.88,2024-03-24,北京
1085,卫衣,3203.66,2024-03-25,上海
1086,卫衣,1276.71,2024-03-26,北京
1087,耳机,471.73,2024-03-27,上海
1088,手机,731.51,2024-03-28,深圳
1089,水杯,727.42,2024-03-29,深圳
1090,耳机,844.32,2024-03-30,深圳
1091,水杯,780.25,2024-03-31,深圳
1092,水杯,3240.29,2024-04-01,上海
1093,耳机,991.21,2024-04-02,广州
1094,耳机,1793.77,2024-04-03,上海
1095,耳机,4494.26,2024-04-04,北京
1096,耳机,2422.41,2024-04-05,深圳
1097,耳机,3371.03,2024-04-06,深圳
1098,水杯,944.37,2024-04-07,北京
1099,耳机,1042.22,2024-04-08,上海
1100,手机,300.26,2024-04-09,广州
1101,卫衣,927.78,2024-04-10,广州
1102,耳机,1465.09,2024-04-11,北京
1103,耳机,967.35,2024-04-12,广州
1104,水杯,534.64,2024-04-13,上海
1105,耳机,691.12,2024-04-14,上海
1106,耳机,2357.82,2024-04-15,北京
1107,耳机,1111.04,2024-04-16,上海
1108,水杯,1884.92,2024-04-17,深圳
1109,耳机,2566.74,2024-04-18,北京
1110,卫衣,3482.93,2024-04-19,上海
1111,水杯,292.63,2024-04-20,北京
1112,卫衣,4017.11,2024-04-21,广州
1113,水杯,3176.71,2024-04-22,上海
1114,耳机,500.62,2024-04-23,深圳
1115,卫衣,4380.54,2024-04-24,上海
1116,水杯,4612.27,2024-04-25,北京
1117,手机,399.28,2024-04-26,北京
1118,耳机,1456.70,2024-04-27,上海
1119,水杯,4050.39,2024-04-28,深圳
1120,手机,3766.47,2024-04-29,深圳
1121,水杯,1004.15,2024-04-30,深圳
1122,手机,1125.81,2024-05-01,北京
1123,耳机,1915.31,2024-05-02,上海
1124,卫衣,2474.16,2024-05-03,广州
1125,手机,3129.45,2024-05-04,北京
1126,水杯,1907.68,2024-05-05,深圳
1127,耳机,2366.42,2024-05-06,上海
1128,手机,3762.61,2024-05-07,深圳
1129,水杯,279.75,2024-05-08,广州
1130,水杯,1336.94,2024-05-09,深圳
1131,水杯,3595.41,2024-05-10,深圳
1132,手机,4486.51,2024-05-11,广州
1133,手机,2607.22,2024-05-12,上海
1134,手机,2707.36,2024-05-13,北京
1135,卫衣,625.14,2024-05-14,上海
1136,手机,2292.32,2024-05-15,广州
1137,手机,2709.82,2024-05-16,深圳
1138,手机,1288.11,2024-05-17,上海
1139,卫衣,1419.29,2024-05-18,北京
1140,手机,1948.69,2024-05-19,广州
1141,水杯,198.35,2024-05-20,上海
1142,手机,1678.19,2024-05-21,北京
1143,水杯,1136.10,2024-05-22,广州
1144,水杯,1704.74,2024-05-23,北京
1145,水杯,686.83,2024-05-24,广州
1146,卫衣,4463.58,2024-05-25,深圳
1147,卫衣,3008.60,2024-05-26,上海
1148,卫衣,3427.60,2024-05-27,北京
1149,手机,3966.94,2024-05-28,广州
