订单号,下单时间,支付时间,商品名称,品类,单价(元),数量,支付金额(元),退款金额(元),城市,用户ID
ORD001,2024-05-01 08:30:00,2024-05-01 08:35:00,智能手机,数码,2999,1,2999,0,北京,U001
ORD002,2024-05-01 09:10:00,2024-05-02 09:12:00,无线耳机,数码,199,1,199,0,上海,U002
ORD003,2024-05-01 10:00:00,,纯棉卫衣,服饰,159,2,318,0,广州,U003
ORD004,2024-05-02 11:20:00,2024-05-02 11:25:00,智能水杯,家居,99,1,99,99,深圳,U004
ORD005,2024-05-02 14:00:00,2024-05-02 14:08:00,机械键盘,数码,299,1,299,0,北京,U005
ORD006,2024-05-03 09:00:00,2024-05-03 09:10:00,运动跑鞋,服饰,399,1,399,0,上海,U006
ORD007,2024-05-03 15:30:00,2024-05-03 15:35:00,厨房刀具,家居,129,1,129,0,广州,U007
ORD008,2024-05-04 10:20:00,2024-05-04 10:22:00,平板电脑,数码,1999,1,1999,0,深圳,U008
ORD009,2024-05-04 16:40:00,,休闲裤,服饰,89,2,178,0,北京,U009
ORD010,2024-05-05 11:00:00,2024-05-05 11:05:00,电饭煲,家居,299,1,299,149.5,上海,U010
