日期,开盘价,最高价,最低价,收盘价,成交量(手)
2024-01-02,100.00,102.50,98.80,101.20,15000
2024-01-03,101.50,103.80,100.20,102.50,18000
2024-01-04,102.80,105.00,101.50,104.20,22000
2024-01-05,104.50,106.20,103.00,105.80,25000
2024-01-08,106.00,107.50,104.80,106.50,20000
2024-01-09,106.80,108.00,105.50,107.20,19000
2024-01-10,107.50,109.00,106.00,108.50,21000
2024-01-11,108.80,110.00,107.50,109.80,23000
2024-01-12,109.50,111.00,108.20,110.50,24000
2024-01-15,110.80,112.50,109.50,111.80,26000
2024-01-16,112.00,113.80,110.80,112.50,28000
2024-01-17,112.80,114.50,111.50,113.20,27000
2024-01-18,113.50,115.00,112.00,114.00,29000
2024-01-19,114.20,115.80,112.80,113.50,30000
2024-01-22,113.80,114.50,111.50,112.80,28000
